grupo,rank,termo,tfidf,documento_fonte,trecho
quenia,1,every learner,0.06129556,quenia_basic-education-curriculum-framework_2017.pdf,...Education Curriculum Framework Nurturing Every Learner’s Potential 1...
quenia,2,senior school,0.06115496,quenia_basic-education-curriculum-framework_2017.pdf,...40 Basic Education Curriculum Framework...
quenia,3,framework nurturing,0.06030984,quenia_basic-education-curriculum-framework_2017.pdf,...Education Curriculum Framework Nurturing Every Learner’s...
quenia,4,kenya,0.05630872,quenia_basic-education-curriculum-framework_2017.pdf,"...Nurturing Every Learner’s Potential 1 Engaged, Empowered & Ethical Citizens KENYA..."
quenia,5,empowered,0.05255685,quenia_basic-education-curriculum-framework_2017.pdf,"...Education Curriculum Framework Nurturing Every Learner’s Potential 1 Engaged, Empowered & Ethical..."
quenia,6,competencies acquired,0.05228618,quenia_basic-education-curriculum-framework_2017.pdf,...will give learners the required confidence to participate more actively in the learning process and think critically as well as imaginatively. Learners at this level will...
quenia,7,education curriculum,0.05186402,quenia_basic-education-curriculum-framework_2017.pdf,...Education Curriculum Framework...
quenia,8,learners knowledge,0.05107363,quenia_basic-education-curriculum-framework_2017.pdf,"...rock climbing and construction of outdoor shelters. Involvement in outdoor pursuits education develops in the learner social skills such as resilience, hard work,..."
quenia,9,pursue further,0.05054766,quenia_basic-education-curriculum-framework_2017.pdf,"...of Kenya Vision 2030 that emphasize Science, Technology and Innovation (STI) as one of the key drivers of the economy towards industrialisation of the country by the..."
quenia,10,prerequisite,0.04970721,quenia_basic-education-curriculum-framework_2017.pdf,...of other subjects and also prepare them for more advanced study of English language and literature at senior school. They will be provided with varied experiences...
reino-unido,1,pupils,0.15491495,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,...curriculum in England Purpose of study A high-quality computing education equips pupils to use computational thinking and creativity to understand and change...
reino-unido,2,key stage,0.12788956,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,...September 2013 Computing programmes of study: key stages 1 and 2 National curriculum in England Purpose of study A...
reino-unido,3,key stages,0.11178868,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,...September 2013 Computing programmes of study: key stages 1 and 2 National curriculum in England Purpose of study A high-quality...
reino-unido,4,information technology,0.11030765,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,"...programming. Building on this knowledge and understanding, pupils are equipped to use information technology to create programs, systems and a range of content. Computing..."
reino-unido,5,computing,0.10804624,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,...September 2013 Computing programmes of study: key stages 1 and 2 National curriculum in England...
reino-unido,6,understand,0.10322292,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,"...computing education equips pupils to use computational thinking and creativity to understand and change the world. Computing has deep links with mathematics,..."
reino-unido,7,algorithms,0.09711685,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,"...and apply the fundamental principles and concepts of computer science, including abstraction, logic, algorithms and data representation  can analyse problems in..."
reino-unido,8,programs,0.09608179,reino-unido_computing-curriculum_ks1-ks2_2014.pdf,"...knowledge and understanding, pupils are equipped to use information technology to create programs, systems and a range of content. Computing also ensures that..."
reino-unido,9,binary,0.09546754,reino-unido_computing-curriculum_ks3-ks4_2014.pdf,"...simple Boolean logic [for example, AND, OR and NOT] and some of its uses in circuits and programming; understand how numbers can be represented in binary, and..."
reino-unido,10,licence,0.09284731,reino-unido_computing-curriculum_ks3-ks4_2014.pdf,...to identify and report a range of concerns. © Crown copyright 2013 You may re-use this information (excluding logos) free of charge in any format...
ruanda,1,visual basic,0.09830613,ruanda_ict-syllabus.pdf,"...education focusing on combating illiteracy, promotion of science and technology, critical thinking, and positive values and job creation. In Rwandan society, ICT..."
ruanda,2,1300,0.09337609,ruanda_ict-syllabus.pdf,...MCE and MPC) TOPIC AREA: INTERNET Sub Topic : Web designing Unit 4: Introduction to web designing No. of periods: 36 Key Unit competence: Build a...
ruanda,3,total number,0.07506594,ruanda_ict-syllabus.pdf,"..., Projector, Internet connection, Visual Basic IDE, digital material Subject: ICT Senior: 6 Combination: General Education combinations (except MCE and MPC)..."
ruanda,4,general studies,0.07494207,ruanda_ict-syllabus.pdf,"...Assessment criteria: Students can Describe a Visual Basic Integrated Development Environment (VB-IDE), design graphical user interface with several controls on..."
ruanda,5,database,0.07406094,ruanda_ict-syllabus.pdf,"...of learning ICT In Rwanda, ICT is penetrating every aspect of every day’s life including service delivery and the country is going towards an intensive..."
ruanda,6,core subjects,0.07335211,ruanda_ict-syllabus.pdf,...of visual basic IDE. ● Teacher provides practical questions(problems) by which students design a form and connect it to created database ● Teacher will show to...
ruanda,7,rwanda,0.072192,ruanda_ict-syllabus.pdf,"...SYLLABUS FOR GENERAL EDUCATIONMPG, PCM, PCB, MEG, MCB, LFK, HLP & HGL Kigali, August 2022 REPUBLIC OF..."
ruanda,8,projector,0.06870418,ruanda_ict-syllabus.pdf,"...table of specifications. ▪ Ensure that the verbs used in the formulation of questions do not require memorization or recall answers only but also testing broad,..."
ruanda,9,periods,0.06866165,ruanda_ict-syllabus.pdf,...process ▪ Be a good communicator and organizer ▪ Be a guide/ facilitator and a counselor ▪ Make useful link of ICT with other Subjects and real life...
ruanda,10,attitudes values,0.0663534,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
singapura,1,learners framework,0.0438462,MOEICT Guidelines_Final_edited_Singapura.pdf,"...Infant. Psychology, 5(9), 504-518. Holloway, D., Green, L., & Livingstone, S. (2013). Zero to eight: Young children and their Internet use. Retrieved from..."
singapura,2,nurturing early,0.04248816,Framework and Guidelines _ MOE - Nurturing Early Learners Portal_SINGAPURA REVER.pdf,"...if they use ICT in their teaching and learning. Download: MOE ICT Guidelines MOE - Nurturing Early Learners Portal The NEL Framework Values, SECs and LDs Learning..."
singapura,3,early learners,0.04248816,Framework and Guidelines _ MOE - Nurturing Early Learners Portal_SINGAPURA REVER.pdf,"...they use ICT in their teaching and learning. Download: MOE ICT Guidelines MOE - Nurturing Early Learners Portal The NEL Framework Values, SECs and LDs Learning areas..."
singapura,4,mtl,0.04141538,NEL Framework 2022_v2_Curriculo_Singapura_2022.pdf,"...by foregrounding values, social and emotional competencies1 and learning dispositions • Elaborating on the iTeach principles for quality teaching and..."
singapura,5,skills dispositions,0.04059824,NEL Framework 2022_v2_Curriculo_Singapura_2022.pdf,"...the children Support curiosity, encourage choice, decision-making and risk- taking Provide opportunities for child-directed, child and teacher- directed and..."
singapura,6,ksd,0.03853532,NEL Framework 2022_v2_Curriculo_Singapura_2022.pdf,...educators and families to work together to ensure every child has a smooth transition from preschool to primary school. Preschool educators can build up...
singapura,7,ksd provide,0.03853532,NEL Framework 2022_v2_Curriculo_Singapura_2022.pdf,...educators and families to work together to ensure every child has a smooth transition from preschool to primary school. Preschool educators can build up children’s...
singapura,8,dispositions ksd,0.03853532,NEL Framework 2022_v2_Curriculo_Singapura_2022.pdf,...school educators and families to work together to ensure every child has a smooth transition from preschool to primary school. Preschool educators can build up...
singapura,9,observed example,0.03853532,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
singapura,10,model framework,0.03823465,PDPC _ Singapore’s Approach to AI Governance_Singapura.pdf,"...Em 23 de janeiro de 2019, o PDPC lançou sua primeira edição do Model AI Governance Framework (Model Framework) para consulta, adoção e feedback mais amplos. O Model..."
suica,1,medien,0.24784171,"ZH_DE_Modul_MI_Suíça alemã — Lehrplan 21, Medien und Informatik.pdf",...und Informatik Elemente des Kompetenzaufbaus Impressum Herausgeberin:...
suica,2,informatik,0.22367852,"ZH_DE_Modul_MI_Suíça alemã — Lehrplan 21, Medien und Informatik.pdf",...und Informatik Elemente des Kompetenzaufbaus Impressum Herausgeberin: Bildungsdirektion...
suica,3,delle,0.19561929,"Tecnologie-e-Media-modello-di-competenza_Cantão do Ticino — Piano di studio, Tecnologie e media.pdf",...del modello di competenza “Tecnologie e media” da inserire nel Piano di studio e di effettuare delle proposte operative per l’applicazione di tale...
suica,4,che,0.17150742,"EN33_PER_Education numerique_Suíça francófona — Plan d’études romand, Éducation numérique.pdf","...numérique VISÉES PRIORITAIRES Rechercher, analyser, évaluer l'information et créer des contenus médiatiques à..."
suica,5,mit,0.14885862,"Tecnologie-e-Media-modello-di-competenza_Cantão do Ticino — Piano di studio, Tecnologie e media.pdf","...modello nella nostra scuola. Il modello del 2018, nei suoi contenuti, è risultato in perfetta conformità sia con il contesto svizzero (Lehrplan 21 e PER)..."
suica,6,informations,0.13584613,"EN33_PER_Education numerique_Suíça francófona — Plan d’études romand, Éducation numérique.pdf",...des supports et analyse – Choix approprié d’un média et création* – Usages et société – Utilisation des outils – Recherche d’informations et soutien...
suica,7,numerique,0.13382369,"EN33_PER_Education numerique_Suíça francófona — Plan d’études romand, Éducation numérique.pdf","...numérique VISÉES PRIORITAIRES Rechercher, analyser, évaluer l'information et créer des..."
suica,8,maniere,0.11770246,"EN33_PER_Education numerique_Suíça francófona — Plan d’études romand, Éducation numérique.pdf","...l'information et créer des contenus médiatiques à l’aide d’outils adéquats, de manière citoyenne et responsable. Modéliser des phénomènes naturels, sociaux et..."
suica,9,recherche,0.1137749,"EN33_PER_Education numerique_Suíça francófona — Plan d’études romand, Éducation numérique.pdf","...numérique VISÉES PRIORITAIRES Rechercher, analyser, évaluer l'information et créer des contenus médiatiques à l’aide..."
suica,10,nel,0.11330718,"EN33_PER_Education numerique_Suíça francófona — Plan d’études romand, Éducation numérique.pdf","...écran tactile, stylet, reconnaissance vocale, …) Gestion autonome du stockage et du partage de fichiers Recours autonome à des aides en ligne pour..."
uruguai,1,plan ceibal,0.04998361,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,...el camino del Plan CEIBAL REFERENCIAS PARA PADRES Y EDUCADORES En el camino del Plan CEIBAL...
uruguai,2,ceibal,0.04864607,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,...el camino del Plan CEIBAL REFERENCIAS PARA PADRES Y EDUCADORES En el camino del Plan CEIBAL...
uruguai,3,ceibal uruguay,0.04402791,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
uruguai,4,montevideo,0.03950584,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,"...de Ciencia de la UNESCO para América Latina y el Caribe Dr. Luis Piera 1992, 2º Piso - 11200 Montevideo - Uruguay Tel.: (+ 598 2) 413 20 75 ext. 124 / 126 – Fax: (+..."
uruguai,5,ninos,0.0377859,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,...del niño son la clave Fernando da Rosa Capítulo 13 197 La tecnología como medio para el desarrollo educativo en niños con capacidades especiales...
uruguai,6,camino,0.03732372,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,...el camino del Plan CEIBAL REFERENCIAS PARA PADRES Y EDUCADORES En el camino del Plan...
uruguai,7,uruguay,0.03716328,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,"...Pieruzzi, Mª del Lourdes Quinteros, Graciela Rabajoli, Representación de la FAO en Uruguay, Antonio Romano, María del Carmen Scavone, María Zenia Toribio,..."
uruguai,8,videojuegos,0.03503074,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,"...y su accionar en apoyo al Plan CEIBAL Roberto Elissalde, Karina Acosta Capítulo 11 169 ¿Qué hace tan irresistibles a los videojuegos? Roberto Balaguer Capítulo 12..."
uruguai,9,escuela,0.03453307,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,"...Breve descripción y principales líneas de acción Comisión de Políticas del Plan CEIBAL Capítulo 2 41 La escuela cambia de piel Graciela Almirón, Leticia Folgar,..."
uruguai,10,mosquito,0.03445058,uruguai_en-el-camino-del-plan-ceibal_2009.pdf,"...Alemania. Se desempeñó como Consejero de Comunicación e Informática de UNESCO para África Subsahariana, en Addis Abeba, Etiopía (1998-2004). Actualmente..."
